Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.93     0.00      104     0.00     0.00  std::_Hashtable<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::allocator<std::pair<Vect2<int> const, BoolChunk*> >, std::__detail::_Select1st, std::equal_to<Vect2<int> >, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_allocate_buckets(unsigned long)
  0.00      1.93     0.00      104     0.00     0.00  std::_Hashtable<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::allocator<std::pair<Vect2<int> const, BoolChunk*> >, std::__detail::_Select1st, std::equal_to<Vect2<int> >, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_deallocate_buckets(std::__detail::_Hash_node_base**, unsigned long)
  0.00      1.93     0.00      104     0.00     0.00  std::_Hashtable<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::allocator<std::pair<Vect2<int> const, BoolChunk*> >, std::__detail::_Select1st, std::equal_to<Vect2<int> >, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_deallocate_buckets()
  0.00      1.93     0.00      104     0.00     0.00  std::allocator_traits<std::allocator<std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false> > >::allocate(std::allocator<std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false> >&, unsigned long)
  0.00      1.93     0.00      104     0.00     0.00  std::allocator_traits<std::allocator<std::__detail::_Hash_node_base*> >::allocate(std::allocator<std::__detail::_Hash_node_base*>&, unsigned long)
  0.00      1.93     0.00      104     0.00     0.00  std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false>::_Hash_node()
  0.00      1.93     0.00      104     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false> > >::_M_allocate_buckets(unsigned long)
  0.00      1.93     0.00      104     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<Vect2<int> const, BoolChunk*> >::_M_v()
  0.00      1.93     0.00      104     0.00     0.00  std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false>* std::__to_address<std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false> >(std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false>*)
  0.00      1.93     0.00      104     0.00     0.00  std::__detail::_Hash_node_base** std::__to_address<std::__detail::_Hash_node_base*>(std::__detail::_Hash_node_base**)
